SKU;GRUPO;FAMILIA;TITULO;COLOR;URL_SKU1
3984011-223;PDA;POLERAS;POLERA CREPE MIX, BORDADO, NEGRO;NEGRO;https://liolaweb.cl/223/3984011_1.jpg
3985022-223;PDA;BLUSAS;BLUSA CAMISERA APLICACIÓN STRASS, FRESA;FRESA;https://liolaweb.cl/223/3985022_1.jpg
3987011-223;OUTERWEAR;ABRIGOS;ABRIGO SEMI ENTALLADO, MUFLÓN NEGRO;NEGRO;https://liolaweb.cl/223/3987011_1.jpg
3987712-223;OUTERWEAR;ABRIGOS;ABRIGO SEMI ENTALLADO, MUFLÓN CIRUELA;CIRUELA;https://liolaweb.cl/223/3987712_1.jpg
3988083-223;OUTERWEAR;CHAQUETAS;CHAQUETA TIPO AVIADOR DOBLE FAZ  TOPO;TOPO;https://liolaweb.cl/223/3988083_1.jpg
3990011-223;OUTERWEAR;CHAQUETAS;TRENCH EFECTO GAMUZA NEGRO;NEGRO;https://liolaweb.cl/223/3990011_1.jpg
3990052-223;OUTERWEAR;CHAQUETAS;TRENCH EFECTO GAMUZA MASILLA;MASILLA;https://liolaweb.cl/223/3990052_1.jpg
3991011-223;BOTTOMS;JEANS;JEANS SKINNY PUSH UP, TIRO MEDIO, NEGRO;NEGRO;https://liolaweb.cl/223/3991011_1.jpg
3992401-223;BOTTOMS;PANTALONES;JEANS SKINNY COATING LEOPARDO, TIRO MEDIO, NEGRO;NEGRO;https://liolaweb.cl/223/3992401_1.jpg
3998576-223;BOTTOMS;JEANS;JEANS FLARE, TIRO MEDIO, CELESTE;CELESTE;https://liolaweb.cl/223/3998576_1.jpg
3999572-223;BOTTOMS;JEANS;JEANS FLARE, TIRO MEDIO, AZUL;AZUL;https://liolaweb.cl/223/3999572_1.jpg
4000576-223;BOTTOMS;JEANS;JEANS CARGO STRAIGHT TIRO MEDIO, CELESTE;CELESTE;https://liolaweb.cl/223/4000576_1.jpg
4003011-223;PDA;POLERAS;BEATLE BÁSICO, NEGRO;NEGRO;https://liolaweb.cl/223/4003011_1.jpg
4003021-223;PDA;POLERAS;BEATLE BÁSICO, ROJO;ROJO;https://liolaweb.cl/223/4003021_1.jpg
4003023-223;PDA;POLERAS;BEATLE BÁSICO, FUCSIA;FUCSIA;https://liolaweb.cl/223/4003023_1.jpg
4003574-223;PDA;POLERAS;BEATLE BÁSICO, OCÉANO;OCÉANO;https://liolaweb.cl/223/4003574_1.jpg
4004301-223;PDA;BLUSAS;BLUSA ESTAMPADO ANIMAL, NEGRO;NEGRO;https://liolaweb.cl/223/4004301_1.jpg
4006422-223;BOTTOMS;PANTALONES;PANTALÓN SKINNY, TIRO MEDIO, FOLIA, CAFÉ;CAFÉ;https://liolaweb.cl/223/4006422_1.jpg
4007011-223;OUTERWEAR;CHAQUETAS;SOBRECAMISA MATELASSE EFECTO CUERO, NEGRO;NEGRO;https://liolaweb.cl/223/4007011_1.jpg
4009011-223;OUTERWEAR;CHAQUETAS;CHAQUETA BIKER MIX EFECTO PIEL Y CUERO, NEGRO;NEGRO;https://liolaweb.cl/223/4009011_1.jpg
4011011-223;OUTERWEAR;CHAQUETONES;CHAQUETÓN BIKER APLICACIÓN CUERO, NEGRO;NEGRO;https://liolaweb.cl/223/4011011_1.jpg
4012011-223;PDA;BLUSAS;BLUSA CAMISERA SATÍN BOTÓN JOYA, NEGRO;NEGRO;https://liolaweb.cl/223/4012011_1.jpg
4012022-223;PDA;BLUSAS;BLUSA CAMISERA SATÍN BOTÓN JOYA, FRESA;FRESA;https://liolaweb.cl/223/4012022_1.jpg
4017222-223;OUTERWEAR;CHAQUETONES;CHAQUETÓN RECTO TIPO GAMULAN, EFECTO GAMUZA, CHOCOLATE;CHOCOLATE;https://liolaweb.cl/223/4017222_1.jpg
4025011-223;OUTERWEAR;PARKAS;PARKA CORTA EFECTO CUERO CON CAPUCHÓN, NEGRO;NEGRO;https://liolaweb.cl/223/4025011_1.jpg
4025222-223;OUTERWEAR;PARKAS;PARKA CORTA EFECTO CUERO CON CAPUCHÓN, CHOCOLATE;CHOCOLATE;https://liolaweb.cl/223/4025222_1.jpg
4026011-223;OUTERWEAR;PARKAS;PARKA EFECTO CUERO CON CAPUCHÓN, NEGRO;NEGRO;https://liolaweb.cl/223/4026011_1.jpg
4026222-223;OUTERWEAR;PARKAS;PARKA EFECTO CUERO CON CAPUCHÓN, CHOCOLATE;CHOCOLATE;https://liolaweb.cl/223/4026222_1.jpg
4027401-223;OUTERWEAR;PARKAS;PARKA SEMI ENTALLADA CON LAZO, NEGRO;NEGRO;https://liolaweb.cl/223/4027401_1.jpg
4027422-223;OUTERWEAR;PARKAS;PARKA SEMI ENTALLADA CON LAZO, CAFÉ;CAFÉ;https://liolaweb.cl/223/4027422_1.jpg
4030405-223;PDA;POLERAS;POLERA METALIZADA, HOMBRO DESCUBIERTO, BEIGE;BEIGE;https://liolaweb.cl/223/4030405_1.jpg
4032322-223;PDA;POLERAS;BEATLE ESTAMPADO LEOPARDO, CAFÉ;CAFÉ;https://liolaweb.cl/223/4032322_1.jpg
4033401-223;OUTERWEAR;ABRIGOS;ABRIGO RECTO TEJIDO FANTASÍA CEBRA, NEGRO FUCSIA;NEGRO;https://liolaweb.cl/223/4033401_1.jpg
4034224-223;OUTERWEAR;ABRIGOS;ABRIGO LARGO RECTO TEJIDO CAMEL;CAMEL;https://liolaweb.cl/223/4034224_1.jpg
4034402-223;OUTERWEAR;ABRIGOS;ABRIGO LARGO RECTO TEJIDO ROJO;ROJO;https://liolaweb.cl/223/4034402_1.jpg
4035401-223;OUTERWEAR;CHAQUETAS;CHAQUETA RECTA TEJIDO MIX FANTASÍA LISO, NEGRO;NEGRO;https://liolaweb.cl/223/4035401_1.jpg
4036401-223;OUTERWEAR;CHAQUETONES;CHAQUETÓN RECTO TEJIDO MIX FANTASÍA LISO, NEGRO;NEGRO;https://liolaweb.cl/223/4036401_1.jpg
4038401-223;OUTERWEAR;CHAQUETAS;CHAQUETA RECTA TEJIDO FANTASÍA, NEGRO, CON CAPUCHÓN;NEGRO;https://liolaweb.cl/223/4038401_1.jpg
